bin,final_NO2,start_NO2,final_O3,start_O3,final_SO2,start_SO2,final_CO,start_CO
1,0.039836652,0,6.88053E-05,0,0.00587908,0,0.002316733,0
2,0.079673305,0.039836652,0.000137611,6.88053E-05,0.011758161,0.00587908,0.004633467,0.002316733
3,0.119509957,0.079673305,0.000206416,0.000137611,0.017637241,0.011758161,0.0069502,0.004633467
4,0.159346609,0.119509957,0.000275221,0.000206416,0.023516321,0.017637241,0.009266933,0.0069502
5,0.199183261,0.159346609,0.000344027,0.000275221,0.029395402,0.023516321,0.011583666,0.009266933
6,0.239019914,0.199183261,0.000412832,0.000344027,0.035274482,0.029395402,0.0139004,0.011583666
7,0.278856566,0.239019914,0.000481637,0.000412832,0.041153562,0.035274482,0.016217133,0.0139004
8,0.318693218,0.278856566,0.000550443,0.000481637,0.047032642,0.041153562,0.018533866,0.016217133
9,0.35852987,0.318693218,0.000619248,0.000550443,0.052911723,0.047032642,0.020850599,0.018533866
10,0.398366523,0.35852987,0.000688053,0.000619248,0.058790803,0.052911723,0.023167333,0.020850599
