State,City,Date,year,dayofweek,month,NO2,O3,SO2,CO
Pennsylvania,York,9/2/2000,2000,7,9,7.083333,0.022167,8,0.295833
Pennsylvania,York,6/2/2000,2000,6,6,19.291667,0.056958,4.25,0.545833
Pennsylvania,York,10/25/2000,2000,4,10,29.791667,0.01,8,0.65
Pennsylvania,York,8/11/2000,2000,6,8,15.583333,0.033583,7.458333,0.2375
Pennsylvania,York,5/3/2000,2000,4,5,34,0.04275,4.958333,0.305556
Pennsylvania,York,4/1/2000,2000,7,4,21.666667,0.02875,9.125,0.495833
Pennsylvania,York,9/13/2000,2000,4,9,16.375,0.01675,6.916667,0.3
Pennsylvania,York,4/15/2000,2000,7,4,15.708333,0.01125,1.458333,0.191667
Pennsylvania,York,8/7/2000,2000,2,8,9.75,0.041875,3.5,0.233333
Pennsylvania,York,9/16/2000,2000,7,9,8.916667,0.012292,4.625,0.05
Pennsylvania,York,4/7/2000,2000,6,4,20.75,0.034625,5.75,0.233333
Pennsylvania,York,8/21/2000,2000,2,8,17.833333,0.014042,6.833333,0.3625
Pennsylvania,York,4/11/2000,2000,3,4,19.75,0.013667,2.291667,0.045833
Pennsylvania,York,4/18/2000,2000,3,4,14.375,0.018667,1.583333,0.025
Pennsylvania,York,8/20/2000,2000,1,8,13,0.017125,7,0.279167
Pennsylvania,York,10/6/2000,2000,6,10,17.833333,0.018708,7.833333,0.383333
Pennsylvania,York,4/12/2000,2000,4,4,19.5,0.017167,2.125,0.1375
Pennsylvania,York,5/28/2000,2000,1,5,9.916667,0.0255,3.833333,0.295833
Pennsylvania,York,5/19/2000,2000,6,5,16.75,0.018042,4.291667,0.379167
Pennsylvania,York,10/8/2000,2000,1,10,11.875,0.010417,7.416667,0.104167
Pennsylvania,York,10/3/2000,2000,3,10,24.166667,0.022958,8.875,0.579167
Pennsylvania,York,4/2/2000,2000,1,4,6.826087,0.041958,4.565217,0.083333
Pennsylvania,York,5/4/2000,2000,5,5,14.4,0.049083,3.3,0.3875
Pennsylvania,York,7/13/2000,2000,5,7,22.625,0.026208,3.041667,0.320833
Pennsylvania,York,8/2/2000,2000,4,8,10.458333,0.042833,4.541667,0.2375
Pennsylvania,York,6/17/2000,2000,7,6,8,0.033708,2.958333,0.241667
Pennsylvania,York,5/7/2000,2000,1,5,13.125,0.04675,7.666667,0.408333
Pennsylvania,York,5/13/2000,2000,7,5,18.416667,0.041333,6.916667,0.5625
Pennsylvania,York,10/22/2000,2000,1,10,17.958333,0.017458,1.208333,0.395833
Pennsylvania,York,10/1/2000,2000,1,10,14.333333,0.011208,4.958333,0.233333
Pennsylvania,York,7/1/2000,2000,7,7,16.208333,0.030625,4.916667,0.225
Pennsylvania,York,5/8/2000,2000,2,5,25.75,0.052167,8.375,0.6
Pennsylvania,York,4/14/2000,2000,6,4,23.625,0.021625,6,0.175
Pennsylvania,York,6/23/2000,2000,6,6,20.521739,0.022294,3.652174,0.356522
Pennsylvania,York,9/29/2000,2000,6,9,16.291667,0.009542,4.416667,0.204167
Pennsylvania,York,10/18/2000,2000,4,10,20.833333,0.009722,2.125,0.336364
Pennsylvania,York,7/12/2000,2000,4,7,19.208333,0.023,4.583333,0.15
Pennsylvania,York,10/27/2000,2000,6,10,36,0.00575,6.875,1.045833
Pennsylvania,York,10/7/2000,2000,7,10,10.916667,0.020917,5.833333,0.066667
Pennsylvania,York,4/26/2000,2000,4,4,20.875,0.019583,4.208333,0.191667
Pennsylvania,York,8/27/2000,2000,1,8,9.416667,0.043,5.916667,0.516667
Pennsylvania,York,8/5/2000,2000,7,8,15.666667,0.030375,7.041667,0.183333
Pennsylvania,York,5/5/2000,2000,6,5,19.625,0.041167,9.5,0.504167
Pennsylvania,York,10/13/2000,2000,6,10,35.833333,0.014333,12.458333,0.970833
Pennsylvania,York,8/10/2000,2000,5,8,19.75,0.028667,6.291667,0.225
Pennsylvania,York,7/20/2000,2000,5,7,14.625,0.023417,4.125,0.170833
Pennsylvania,York,5/22/2000,2000,2,5,14.041667,0.018542,3.869565,0.286957
Pennsylvania,York,5/10/2000,2000,4,5,22.416667,0.031667,6.125,0.520833
Pennsylvania,York,7/14/2000,2000,6,7,14.25,0.042292,3.041667,0.245833
Pennsylvania,York,6/29/2000,2000,5,6,17.666667,0.030708,4.25,0.3875
Pennsylvania,York,9/4/2000,2000,2,9,4.541667,0.032375,5.708333,0.283333
Pennsylvania,York,7/26/2000,2000,4,7,16.875,0.005583,1.916667,0.154167
Pennsylvania,York,9/6/2000,2000,4,9,14.708333,0.017292,4.583333,0.216667
Pennsylvania,York,8/17/2000,2000,5,8,13.708333,0.02125,6.75,0.220833
